phi the  : 1274
hard day  : 2
in school  : 3
absent at  : 1
the noon  : 1
noon hour  : 1
hour all  : 1
the desks  : 1
desks in  : 1
schoolroom had  : 1
been piled  : 1
piled in  : 1
a pyramid  : 1
pyramid on  : 1
and slates  : 1
slates interchanged  : 1
interchanged ,  : 1
various other  : 1
other pranks  : 1
pranks played  : 1
played .  : 1
when questioned  : 1
questioned every  : 1
every pupil  : 1
pupil denied  : 1
denied having  : 1
done or  : 1
or helped  : 1
phi alfred  : 1
alfred and  : 4
and bob  : 1
bob cropper  : 1
cropper looked  : 2
her squarely  : 1
declared their  : 1
their innocence  : 1
innocence in  : 1
their usual  : 1
usual gentlemanly  : 1
gentlemanly fashion  : 1
yet esther  : 1
the guilty  : 1
guilty ones  : 1
also knew  : 1
what exaggerated  : 1
exaggerated accounts  : 1
affair would  : 1
taken home  : 1
to maitland  : 1
maitland tea  : 1
tea tables  : 1
tables ,  : 1
like sitting  : 1
instead she  : 1
mouth firmly  : 1
children restore  : 1
to order  : 1
after school  : 1
school went  : 1
to isaac  : 1
that gentleman  : 1
gentleman himself  : 1
himself came  : 1
field looking  : 1
as courtly  : 1
courtly as  : 1
his rough  : 1
rough working  : 1
working clothes  : 1
shook hands  : 1
hands heartily  : 1
the weather  : 1
weather .  : 1
esther was  : 2
her object  : 1
object thus  : 1
thus ,  : 2
her courage  : 1
courage ebbing  : 1
ebbing away  : 1
did in  : 1
cropper imperviousness  : 1
imperviousness .  : 1
about alfred  : 1
and robert  : 3
robert ,  : 1
not behaving  : 1
behaving well  : 1
`` indeed  : 3
expressed bland  : 1
bland surprise  : 1
rule i  : 1
think alfred  : 1
robert have  : 1
been troublesome  : 1
troublesome to  : 1
their teachers  : 1
teachers .  : 1
have they  : 2
they been  : 2
they refuse  : 1
obey my  : 1
my orders  : 1
esther faintly  : 1
`` ah  : 5
will pardon  : 1
pardon my  : 1
a teacher  : 2
teacher should  : 1
to enforce  : 1
enforce her  : 1
my boys  : 2
are high-spirited  : 1
high-spirited fellows  : 1
fellows and  : 1
and need  : 1
, firm  : 1
to restrain  : 1
restrain them  : 1
i considered  : 1
considered it  : 1
to employ  : 1
employ a  : 1
male teacher  : 1
teacher in  : 1
maitland school  : 1
better order  : 1
i disapprove  : 1
you personally  : 1
personally --  : 1
-- far  : 1
succeed .  : 1
heard many  : 1
many complaints  : 1
complaints regarding  : 1
order in  : 1
no trouble  : 1
trouble until  : 1
until your  : 1
your boys  : 1
retorted esther  : 1
esther ,  : 2
, losing  : 1
temper a  : 1
were willing  : 1
to co-operate  : 1
co-operate with  : 1
could govern  : 1
govern them  : 1
cropper easily  : 1
school i  : 1
i naturally  : 1
naturally expect  : 1
the teacher  : 2
teacher will  : 1
be capable  : 1
work she  : 1
been hired  : 1
hired to  : 1
esther in  : 1
dear young  : 1
boys soon  : 1
soon know  : 1
can disobey  : 1
disobey a  : 1
teacher with  : 1
with impunity  : 1
impunity .  : 1
to secure  : 1
secure a  : 1
a school  : 2
school easier  : 1
control and  : 1
do good  : 1
good work  : 1
already said  : 1
the helm  : 1
helm .  : 1
going yet  : 1
maxwell ?  : 1
need some  : 1
some refreshment  : 1
refreshment after  : 1
long walk  : 1
mrs. cropper  : 1
cropper will  : 1
in something  : 1
into heartsick  : 1
heartsick tears  : 1
tears under  : 1
under those  : 1
those steely  : 1
steely ,  : 1
, bland  : 1
bland blue  : 1
but resign  : 1
resign ,  : 1
thought dismally  : 1
following saturday  : 1
saturday esther  : 1
esther went  : 2
an afternoon  : 1
afternoon walk  : 1
walk ,  : 3
carrying her  : 1
her kodak  : 2
kodak with  : 1
a brilliantly  : 1
brilliantly fine  : 1
fine autumn  : 1
autumn day  : 1
fields were  : 1
were basking  : 1
basking in  : 2
mellow haze  : 1
went across  : 1
across lots  : 1
lots to  : 1
, intending  : 1
intending to  : 1
was locked  : 1
evidently deserted  : 1
deserted ,  : 1
she rambled  : 1
rambled past  : 1
back fields  : 1
passing through  : 1
a grove  : 1
grove of  : 1
of maples  : 1
maples she  : 1
among leafy  : 1
leafy young  : 1
young saplings  : 1
saplings on  : 1
just beyond  : 2
beyond her  : 1
its laden  : 1
laden boughs  : 1
boughs hanging  : 1
the famous  : 1
famous plum  : 1
esther looked  : 1
then an  : 2
odd smile  : 1
smile gleamed  : 1
gleamed over  : 1
kodak .  : 1
phi monday  : 1
monday evening  : 1
evening esther  : 1
esther called  : 1
cropper again  : 1
the preliminary  : 1
preliminary remarks  : 1
remarks in  : 1
he indulged  : 1
indulged ,  : 1
with seeming  : 1
seeming irrelevance  : 1
irrelevance ,  : 1
that saturday  : 1
saturday had  : 1
excellent light  : 1
light for  : 1
for snapshots  : 1
snapshots ,  : 1
on coolly  : 1
coolly .  : 1
my kodak  : 1
kodak and  : 1
was lucky  : 1
lucky enough  : 1
good negative  : 1
negative .  : 1
proof .  : 1
the proof  : 3
proof on  : 1
before mr.  : 1
cropper .  : 1
the plum  : 1
phi bob  : 1
bob and  : 1
and alf  : 1
alf cropper  : 1
cropper were  : 1
boughs picking  : 1
plums .  : 1
ground beneath  : 1
them stood  : 1
stood their  : 1
father with  : 1
of fruit  : 1
proof and  : 1
lost their  : 3
their unconcerned  : 1
unconcerned glitter  : 1
glitter ,  : 1
was defiant  : 1
defiant .  : 1
mine by  : 1
esther calmly  : 1
who do  : 2
instance --  : 1
this proof  : 1
proof ,  : 1
cried mr.  : 1
cropper hastily  : 1
am tired  : 3
of fighting  : 5
fighting over  : 2
had decided  : 1
decided before  : 1
her have  : 1
trifle ,  : 1
were discussing  : 1
other night  : 1
maxwell .  : 1
i admit  : 1
admit i  : 1
was somewhat  : 1
somewhat unreasonable  : 1
unreasonable .  : 1
'll talk  : 1
to alfred  : 1
robert and  : 1
esther quietly  : 1
plums is  : 1
business and  : 3
n't wish  : 1
family feuds  : 1
feuds ,  : 1
allow mrs.  : 1
charley to  : 1
own in  : 1
future .  : 1
will hope  : 1
that matters  : 1
matters will  : 1
will improve  : 1
improve .  : 1
proof with  : 1
cropper eagerly  : 1
the negative  : 1
negative still  : 1
time out  : 1
boys were  : 1
were models  : 1
models of  : 1
good behaviour  : 1
behaviour and  : 1
other turbulent  : 1
turbulent spirits  : 1
having lost  : 1
their leaders  : 1
were soon  : 1
soon quelled  : 1
quelled .  : 1
phi complaint  : 1
complaint died  : 1
term esther  : 1
was re-engaged  : 1
re-engaged .  : 1
you seem  : 2
have won  : 2
won old  : 1
old cropper  : 1
cropper over  : 1
side entirely  : 1
entirely ,  : 1
'' mr.  : 1
baxter told  : 1
meeting today  : 1
today that  : 1
best teacher  : 1
teacher we  : 1
had and  : 1
raise your  : 1
your salary  : 1
salary .  : 1
knew isaac  : 1
cropper to  : 1
change his  : 5
opinions so  : 1
so handsomely  : 1
handsomely .  : 1
esther smiled  : 1
phi mowgli  : 43
mowgli 's  : 13
's brothers  : 1
brothers now  : 1
now rann  : 1
rann the  : 3
kite brings  : 1
brings home  : 1
that mang  : 1
mang the  : 4
the bat  : 4
bat sets  : 1
sets free  : 1
free --  : 1
the herds  : 4
herds are  : 1
are shut  : 2
in byre  : 1
byre and  : 1
and hut  : 1
for loosed  : 1
loosed till  : 1
till dawn  : 1
dawn are  : 1
we .  : 1
of pride  : 3
, talon  : 1
talon and  : 1
and tush  : 1
tush and  : 1
and claw  : 1
claw .  : 1
, hear  : 1
the call  : 5
call !  : 1
good hunting  : 9
that keep  : 1
the jungle  : 113
jungle law  : 2
law !  : 1
phi night-song  : 1
night-song in  : 1
jungle it  : 1
was seven  : 1
seven o'clock  : 1
o'clock of  : 1
warm evening  : 1
the seeonee  : 7
seeonee hills  : 1
hills when  : 1
when father  : 1
father wolf  : 29
wolf woke  : 1
his day  : 1
, scratched  : 2
scratched himself  : 2
, yawned  : 1
yawned ,  : 1
his paws  : 4
paws one  : 2
other to  : 1
the sleepy  : 2
sleepy feeling  : 1
feeling in  : 1
their tips  : 1
mother wolf  : 20
wolf lay  : 2
lay with  : 2
her big  : 1
big gray  : 1
gray nose  : 2
nose dropped  : 1
dropped across  : 1
her four  : 1
four tumbling  : 1
tumbling ,  : 1
, squealing  : 2
squealing cubs  : 1
cubs ,  : 3
moon shone  : 1
shone into  : 1
`` augrh  : 1
augrh !  : 1
said father  : 10
wolf .  : 11
hunt again  : 1
to spring  : 2
spring down  : 1
down hill  : 1
hill when  : 2
little shadow  : 1
shadow with  : 1
a bushy  : 1
tail crossed  : 1
threshold and  : 1
and whined  : 2
whined :  : 1
luck go  : 1
o chief  : 1
chief of  : 2
luck and  : 2
strong white  : 1
teeth go  : 1
with noble  : 1
noble children  : 2
they may  : 9
hungry in  : 1
the jackal  : 4
jackal --  : 1
-- tabaqui  : 1
tabaqui ,  : 6
the dish-licker  : 1
dish-licker --  : 1
of india  : 5
india despise  : 1
despise tabaqui  : 1
tabaqui because  : 1
he runs  : 3
runs about  : 1
about making  : 1
telling tales  : 2
tales ,  : 1
eating rags  : 1
rags and  : 2
and pieces  : 2
of leather  : 1
leather from  : 1
village rubbish-heaps  : 1
rubbish-heaps .  : 1
are afraid  : 3
because tabaqui  : 1
jungle ,  : 24
he forgets  : 3
forgets that  : 1
ever afraid  : 1
and runs  : 1
forest biting  : 1
biting everything  : 1
the tiger  : 16
tiger runs  : 1
runs and  : 1
hides when  : 1
little tabaqui  : 1
tabaqui goes  : 1
goes mad  : 1
for madness  : 1
madness is  : 1
most disgraceful  : 1
disgraceful thing  : 1
can overtake  : 1
overtake a  : 1
wild creature  : 2
we call  : 1
it hydrophobia  : 1
hydrophobia ,  : 1
they call  : 2
it dewanee  : 1
dewanee --  : 1
the madness  : 3
`` enter  : 1
enter ,  : 1
wolf stiffly  : 1
stiffly ,  : 2
no food  : 1
food here  : 1
said tabaqui  : 3
so mean  : 1
mean a  : 1
person as  : 1
as myself  : 1
myself a  : 1
a dry  : 3
bone is  : 1
good feast  : 1
we ,  : 3
the gidur-log  : 1
gidur-log -lsb-  : 1
-lsb- the  : 4
jackal people  : 1
people -rsb-  : 1
-rsb- ,  : 4
pick and  : 1
and choose  : 1
choose ?  : 1
he scuttled  : 3
scuttled to  : 2
the bone  : 1
a buck  : 2
buck with  : 1
some meat  : 1
meat on  : 1
sat cracking  : 1
cracking the  : 1
end merrily  : 1
merrily .  : 1
all thanks  : 2
licking his  : 5
beautiful are  : 1
large are  : 1
young too  : 1
have remembered  : 2
children of  : 5
kings are  : 1
are men  : 2
men from  : 1
, tabaqui  : 1
tabaqui knew  : 1
knew as  : 2
as anyone  : 1
else that  : 1
so unlucky  : 1
unlucky as  : 1
to compliment  : 1
compliment children  : 1
see mother  : 1
wolf look  : 1
look uncomfortable  : 1
phi tabaqui  : 3
tabaqui sat  : 1
, rejoicing  : 1
rejoicing in  : 1
mischief that  : 1
said spitefully  : 1
spitefully :  : 1
`` shere  : 3
shere khan  : 87
khan ,  : 11
has shifted  : 1
shifted his  : 2
hunting grounds  : 2
will hunt  : 5
hunt among  : 2
among these  : 1
these hills  : 1
hills for  : 1
phi shere  : 12
khan was  : 3
tiger who  : 3
lived near  : 1
the waingunga  : 12
waingunga river  : 1
twenty miles  : 4
wolf began  : 1
began angrily  : 1
angrily --  : 1
`` by  : 8
law of  : 19
jungle he  : 2
quarters without  : 1
without due  : 1
due warning  : 1
will frighten  : 1
frighten every  : 1
of game  : 2
game within  : 1
within ten  : 1
kill for  : 1
, these  : 5
these days  : 1
not call  : 2
him lungri  : 1
lungri -lsb-  : 1
the lame  : 4
one -rsb-  : 1
-rsb- for  : 2
said mother  : 7
wolf quietly  : 1
been lame  : 1
lame in  : 2
foot from  : 1
only killed  : 1
killed cattle  : 1
the villagers  : 7
villagers of  : 1
waingunga are  : 1
are angry  : 2
make our  : 1
our villagers  : 1
villagers angry  : 1
will scour  : 1
scour the  : 1
jungle for  : 3
we and  : 1
our children  : 2
run when  : 1
set alight  : 1
alight .  : 1
very grateful  : 1
to shere  : 1
khan !  : 2
`` shall  : 3
your gratitude  : 1
gratitude ?  : 1
tabaqui .  : 1
phi snapped  : 2
snapped father  : 1
and hunt  : 2
hunt with  : 4
with thy  : 2
thy master  : 1
phi thou  : 4
thou hast  : 13
hast done  : 1
done harm  : 1
harm enough  : 1
tabaqui quietly  : 1
`` ye  : 4
ye can  : 1
hear shere  : 1
khan below  : 1
below in  : 2
thickets .  : 1
saved myself  : 1
myself the  : 1
wolf listened  : 1
and below  : 2
valley that  : 1
, angry  : 1
, snarly  : 1
snarly ,  : 1
, singsong  : 1
singsong whine  : 1
whine of  : 1
a tiger  : 8
has caught  : 1
caught nothing  : 1
nothing and  : 1
jungle knows  : 2
the fool  : 2
fool !  : 2
begin a  : 1
noise !  : 1
phi does  : 1
our buck  : 1
buck are  : 1
his fat  : 2
fat waingunga  : 1
waingunga bullocks  : 1
bullocks ?  : 1
`` h'sh  : 3
h'sh .  : 1
neither bullock  : 1
bullock nor  : 1
nor buck  : 1
buck he  : 1
he hunts  : 1
hunts to-night  : 1
is man  : 1
the whine  : 1
whine had  : 1
changed to  : 1
of humming  : 1
humming purr  : 1
purr that  : 1
every quarter  : 1
the compass  : 1
compass .  : 1
that bewilders  : 1
bewilders woodcutters  : 1
woodcutters and  : 1
and gypsies  : 1
gypsies sleeping  : 1
and makes  : 3
them run  : 1
run sometimes  : 1
sometimes into  : 1
very mouth  : 1
tiger .  : 3
, showing  : 1
showing all  : 1
`` faugh  : 1
faugh !  : 2
enough beetles  : 1
beetles and  : 1
and frogs  : 1
frogs in  : 2
the tanks  : 2
tanks that  : 1
must eat  : 1
eat man  : 2
our ground  : 1
ground too  : 1
never orders  : 1
orders anything  : 1
anything without  : 1
a reason  : 1
, forbids  : 1
forbids every  : 1
man except  : 1
is killing  : 2
killing to  : 1
show his  : 3
children how  : 1
kill ,  : 4
must hunt  : 1
hunt outside  : 1
grounds of  : 1
his pack  : 1
pack or  : 2
or tribe  : 1
that man-killing  : 1
man-killing means  : 1
white men  : 6
on elephants  : 1
elephants ,  : 16
with guns  : 1
guns ,  : 4
of brown  : 1
brown men  : 1
with gongs  : 1
gongs and  : 1
and rockets  : 1
rockets and  : 1
and torches  : 1
torches .  : 1
then everybody  : 1
jungle suffers  : 1
suffers .  : 1
reason the  : 1
beasts give  : 1
give among  : 1
themselves is  : 1
the weakest  : 1
weakest and  : 1
most defenseless  : 1
defenseless of  : 1
all living  : 2
living things  : 2
is unsportsmanlike  : 1
unsportsmanlike to  : 2
touch him  : 2
say too  : 1
is true  : 9
that man-eaters  : 1
man-eaters become  : 1
become mangy  : 1
mangy ,  : 1
lose their  : 1
their teeth  : 1
the purr  : 1
purr grew  : 1
the full-throated  : 1
full-throated ``  : 1
`` aaarh  : 1
aaarh !  : 1
tiger 's  : 4
charge .  : 2
a howl  : 3
howl --  : 2
an untigerish  : 1
untigerish howl  : 1
from shere  : 1
khan .  : 10
missed ,  : 2
paces and  : 1
heard shere  : 1
khan muttering  : 1
muttering and  : 1
and mumbling  : 1
mumbling savagely  : 1
savagely as  : 1
he tumbled  : 2
tumbled about  : 1
the scrub  : 1
scrub .  : 1
fool has  : 1
more sense  : 1
sense than  : 1
to jump  : 6
jump at  : 1
a woodcutter  : 3
woodcutter 's  : 3
's campfire  : 2
campfire ,  : 2
has burned  : 1
burned his  : 1
wolf with  : 2
grunt .  : 1
`` tabaqui  : 4
tabaqui is  : 3
is with  : 4
`` something  : 2
something is  : 1
coming uphill  : 1
uphill ,  : 2
, twitching  : 2
twitching one  : 1
`` get  : 4
bushes rustled  : 1
rustled a  : 1
thicket ,  : 1
wolf dropped  : 1
dropped with  : 1
his haunches  : 4
haunches under  : 1
under him  : 4
, ready  : 3
his leap  : 1
leap .  : 1
been watching  : 1
watching ,  : 1
world --  : 2
wolf checked  : 1
checked in  : 1
in mid-spring  : 1
mid-spring .  : 1
his bound  : 1
bound before  : 1
was jumping  : 1
jumping at  : 1
at ,  : 2
stop himself  : 1
result was  : 1
shot up  : 1
up straight  : 1
air for  : 1
four or  : 2
or five  : 2
five feet  : 5
, landing  : 2
landing almost  : 1
almost where  : 1
left ground  : 1
snapped .  : 2
's cub  : 25
cub .  : 7
directly in  : 1
holding on  : 1
on by  : 2
low branch  : 1
a naked  : 4
naked brown  : 1
brown baby  : 2
baby who  : 1
just walk  : 1
walk --  : 1
as dimpled  : 1
dimpled a  : 1
little atom  : 1
atom as  : 1
cave at  : 1
into father  : 1
and laughed  : 4
cub ?  : 6
seen one  : 1
wolf accustomed  : 1
to moving  : 1
own cubs  : 2
cubs can  : 1
, mouth  : 1
mouth an  : 1
egg without  : 1
without breaking  : 1
breaking it  : 1
though father  : 1
jaws closed  : 1
closed right  : 1
back not  : 1
a tooth  : 1
tooth even  : 1
even scratched  : 1
the cubs  : 12
cubs .  : 5
how naked  : 1
naked ,  : 3
how bold  : 1
wolf softly  : 1
was pushing  : 1
pushing his  : 1
cubs to  : 1
get close  : 1
warm hide  : 1
hide .  : 3
`` ahai  : 1
ahai !  : 1
is taking  : 1
his meal  : 1
meal with  : 1
so this  : 2
wolf that  : 1
could boast  : 1
cub among  : 1
among her  : 1
children ?  : 2
heard now  : 1
again of  : 1
our pack  : 2
or in  : 2
is altogether  : 1
altogether without  : 1
without hair  : 1
a touch  : 1
touch of  : 1
looks up  : 1
not afraid  : 4
moonlight was  : 1
was blocked  : 1
blocked out  : 1
for shere  : 1
khan 's  : 15
great square  : 1
square head  : 1
were thrust  : 1
thrust into  : 1
was squeaking  : 1
squeaking :  : 1
khan does  : 1
does us  : 1
us great  : 1
great honor  : 2
honor ,  : 3
does shere  : 2
khan need  : 1
need ?  : 1
my quarry  : 1
quarry .  : 1
cub went  : 1
went this  : 1
said shere  : 2
`` its  : 1
its parents  : 1
parents have  : 1
khan had  : 3
had jumped  : 2
as father  : 1
wolf had  : 2
furious from  : 1
pain of  : 1
his burned  : 1
burned feet  : 1
wolf knew  : 1
cave was  : 1
too narrow  : 1
narrow for  : 1
tiger to  : 2
, shere  : 10
's shoulders  : 2
and forepaws  : 1
forepaws were  : 1
were cramped  : 1
cramped for  : 1
be if  : 1
fight in  : 3
a barrel  : 1
wolves are  : 1
free people  : 14
take orders  : 2
orders from  : 2
not from  : 1
any striped  : 1
striped cattle-killer  : 1
cattle-killer .  : 1
cub is  : 6
is ours  : 1
ours --  : 1
kill if  : 2
we choose  : 1
ye choose  : 1
choose and  : 1
and ye  : 4
ye do  : 1
choose !  : 1
what talk  : 3
talk is  : 4
of choosing  : 1
choosing ?  : 1
the bull  : 8
bull that  : 6
, am  : 3
stand nosing  : 1
nosing into  : 1
's den  : 1
den for  : 1
my fair  : 1
fair dues  : 1
dues ?  : 1
who speak  : 1
speak !  : 2
's roar  : 1
roar filled  : 1
cave with  : 2
with thunder  : 1
thunder .  : 2
wolf shook  : 1
shook herself  : 1
herself clear  : 1
cubs and  : 1
like two  : 1
two green  : 1
green moons  : 1
moons in  : 1
darkness ,  : 2
, facing  : 1
facing the  : 1
blazing eyes  : 1
of shere  : 10
, raksha  : 1
raksha -lsb-  : 1
the demon  : 2
demon -rsb-  : 1
who answers  : 1
, lungri  : 2
lungri --  : 1
-- mine  : 1
mine to  : 1
pack and  : 6
pack ;  : 1
look you  : 1
, hunter  : 2
hunter of  : 2
little naked  : 4
naked cubs  : 2
cubs --  : 1
-- frog-eater  : 1
frog-eater --  : 1
-- fish-killer  : 1
fish-killer --  : 1
shall hunt  : 1
hunt thee  : 1
thee !  : 1
now get  : 1
get hence  : 2
hence ,  : 1
or by  : 2
the sambhur  : 4
sambhur that  : 1
killed -lrb-  : 1
-lrb- i  : 2
eat no  : 2
no starved  : 1
starved cattle  : 1
cattle -rrb-  : 1
back thou  : 1
thou goest  : 1
goest to  : 1
to thy  : 1
thy mother  : 2
, burned  : 1
burned beast  : 1
beast of  : 2
, lamer  : 1
lamer than  : 1
ever thou  : 3
thou camest  : 1
camest into  : 1
wolf looked  : 1
on amazed  : 1
amazed .  : 1
almost forgotten  : 1
he won  : 1
won mother  : 1
wolf in  : 3
in fair  : 1
fair fight  : 1
fight from  : 1
from five  : 1
five other  : 1
other wolves  : 2
not called  : 1
demon for  : 1
for compliment  : 1
compliment 's  : 1
khan might  : 1
have faced  : 1
faced father  : 1
against mother  : 1
that where  : 2
would fight  : 1
fight to  : 1
he backed  : 4
backed out  : 1
cave mouth  : 1
mouth growling  : 1
clear he  : 1
shouted :  : 6
`` each  : 1
each dog  : 1
dog barks  : 1
barks in  : 1
own yard  : 1
yard !  : 1
pack will  : 2
this fostering  : 1
fostering of  : 1
of man-cubs  : 2
man-cubs .  : 1
the cub  : 7
my teeth  : 1
teeth he  : 1
o bush-tailed  : 1
bush-tailed thieves  : 1
thieves !  : 1
wolf threw  : 1
down panting  : 2
panting among  : 1
wolf said  : 1
her gravely  : 1
gravely :  : 1
khan speaks  : 1
speaks this  : 1
much truth  : 1
cub must  : 1
be shown  : 1
shown to  : 1
pack .  : 8
phi wilt  : 1
wilt thou  : 2
thou still  : 2
still keep  : 1
came naked  : 1
, alone  : 1
hungry ;  : 1
afraid !  : 2
has pushed  : 1
pushed one  : 1
my babes  : 1
babes to  : 1
side already  : 1
that lame  : 1
lame butcher  : 1
butcher would  : 1
killed him  : 3
waingunga while  : 1
villagers here  : 1
here hunted  : 1
hunted through  : 1
our lairs  : 1
lairs in  : 1
in revenge  : 1
revenge !  : 1
phi assuredly  : 1
assuredly i  : 1
phi lie  : 1
lie still  : 1
frog .  : 5
phi o  : 4
o thou  : 1
thou mowgli  : 1
mowgli --  : 3
for mowgli  : 4
mowgli the  : 2
frog i  : 1
call thee  : 1
thee --  : 2
come when  : 2
when thou  : 8
thou wilt  : 7
wilt hunt  : 1
hunt shere  : 1
khan as  : 1
has hunted  : 1
hunted thee  : 1
thee .  : 9
will our  : 1
pack say  : 1
jungle lays  : 2
lays down  : 2
very clearly  : 1
clearly that  : 1
any wolf  : 2
wolf may  : 1
may ,  : 1
he marries  : 1
marries ,  : 1
, withdraw  : 1
withdraw from  : 1
pack he  : 1
he belongs  : 1
his cubs  : 2
cubs are  : 3
old enough  : 3
pack council  : 2
is generally  : 1
generally held  : 1
held once  : 1
wolves may  : 1
may identify  : 1
identify them  : 1
that inspection  : 1
inspection the  : 1
are free  : 2
run where  : 1
they please  : 1
killed their  : 1
their first  : 2
first buck  : 1
buck no  : 1
no excuse  : 1
excuse is  : 1
accepted if  : 1
grown wolf  : 1
wolf of  : 2
pack kills  : 1
kills one  : 1
punishment is  : 1
is death  : 1
death where  : 1
the murderer  : 1
murderer can  : 1
found ;  : 1
think for  : 1
minute you  : 1
wolf waited  : 1
cubs could  : 1
then on  : 1
pack meeting  : 1
meeting took  : 1
and mowgli  : 16
mowgli and  : 3
wolf to  : 1
the council  : 24
council rock  : 15
rock --  : 1
a hilltop  : 1
hilltop covered  : 1
and boulders  : 1
boulders where  : 1
wolves could  : 1
could hide  : 1
phi akela  : 12
akela ,  : 9
great gray  : 1
gray lone  : 1
lone wolf  : 8
who led  : 1
led all  : 1
pack by  : 1
by strength  : 1
and cunning  : 1
cunning ,  : 1
his rock  : 3
below him  : 2
him sat  : 1
sat forty  : 1
forty or  : 4
every size  : 1
and color  : 1
color ,  : 1
from badger-colored  : 1
badger-colored veterans  : 1
veterans who  : 1
could handle  : 1
handle a  : 1
buck alone  : 1
alone to  : 1
to young  : 1
young black  : 1
black three-year-olds  : 1
three-year-olds who  : 1
the lone  : 12
year now  : 1
fallen twice  : 1
twice into  : 1
wolf trap  : 1
trap in  : 1
been beaten  : 1
beaten and  : 1
for dead  : 1
the manners  : 1
manners and  : 1
and customs  : 3
customs of  : 3
little talking  : 1
cubs tumbled  : 1
tumbled over  : 2
the center  : 8
center of  : 5
the circle  : 5
circle where  : 1
mothers and  : 1
fathers sat  : 1
again a  : 1
a senior  : 1
senior wolf  : 1
wolf would  : 4
go quietly  : 1
quietly up  : 1
a cub  : 5
cub ,  : 5
him carefully  : 1
on noiseless  : 1
noiseless feet  : 1
would push  : 1
her cub  : 1
cub far  : 1
moonlight to  : 1
been overlooked  : 1
overlooked .  : 1
akela from  : 2
rock would  : 1
would cry  : 1
cry :  : 2
ye know  : 4
law --  : 3
-- ye  : 1
law .  : 4
look well  : 11
o wolves  : 8
wolves !  : 5
anxious mothers  : 1
mothers would  : 1
call :  : 1
last --  : 3
neck bristles  : 1
bristles lifted  : 1
lifted as  : 1
came --  : 1
-- father  : 1
wolf pushed  : 1
pushed ``  : 1
`` mowgli  : 4
center ,  : 2
sat laughing  : 1
some pebbles  : 1
pebbles that  : 1
that glistened  : 1
glistened in  : 1
akela never  : 2
never raised  : 1
head from  : 4
but went  : 2
the monotonous  : 1
monotonous cry  : 1
muffled roar  : 1
roar came  : 1
rocks --  : 1
khan crying  : 1
the free  : 10
people to  : 4
even twitched  : 1
twitched his  : 1
the orders  : 4
orders of  : 2
any save  : 1
of deep  : 2
deep growls  : 1
growls ,  : 1
young wolf  : 2
his fourth  : 1
fourth year  : 1
year flung  : 1
flung back  : 1
back shere  : 1
's question  : 1
to akela  : 1
akela :  : 1
dispute as  : 1
cub to  : 1
be accepted  : 2
accepted by  : 1
be spoken  : 1
spoken for  : 2
for by  : 1
by at  : 1
least two  : 1
two members  : 1
pack who  : 1
who speaks  : 3
speaks for  : 1
this cub  : 1
said akela  : 4
akela .  : 13
`` among  : 1
speaks ?  : 1
answer and  : 1
wolf got  : 1
got ready  : 1
knew would  : 1
last fight  : 1
things came  : 1
to fighting  : 2
only other  : 1
other creature  : 1
creature who  : 1
is allowed  : 1
allowed at  : 1
council --  : 1
-- baloo  : 1
baloo ,  : 25
sleepy brown  : 1
brown bear  : 3
bear who  : 1
who teaches  : 1
teaches the  : 1
wolf cubs  : 1
cubs the  : 1
jungle :  : 1
: old  : 1
old baloo  : 4
pleases because  : 1
he eats  : 1
eats only  : 1
only nuts  : 1
and roots  : 1
and honey  : 1
honey --  : 1
-- rose  : 1
rose upon  : 1
his hind  : 5
hind quarters  : 1
quarters and  : 1
and grunted  : 4
grunted .  : 3
cub --  : 1
speak for  : 1
no gift  : 1
speak the  : 2
him run  : 2
be entered  : 1
myself will  : 1
will teach  : 1
teach him  : 6
need yet  : 1
yet another  : 1
`` baloo  : 4
baloo has  : 3
has spoken  : 2
spoken ,  : 1
our teacher  : 1
teacher for  : 1
young cubs  : 1
speaks besides  : 1
besides baloo  : 1
baloo ?  : 2
black shadow  : 1
shadow dropped  : 1
was bagheera  : 2
bagheera the  : 2
black panther  : 10
panther ,  : 6
, inky  : 1
inky black  : 2
black all  : 1
panther markings  : 1
markings showing  : 1
showing up  : 1
in certain  : 1
certain lights  : 1
lights like  : 1
pattern of  : 1
of watered  : 1
watered silk  : 1
knew bagheera  : 1
bagheera ,  : 31
nobody cared  : 1
cared to  : 2
path ;  : 1
as cunning  : 1
cunning as  : 1
as tabaqui  : 1
as bold  : 1
bold as  : 1
wild buffalo  : 1
buffalo ,  : 1
as reckless  : 1
reckless as  : 1
wounded elephant  : 1
voice as  : 1
as wild  : 2
wild honey  : 1
honey dripping  : 1
dripping from  : 1
skin softer  : 1
softer than  : 1
than down  : 1
`` o  : 1
o akela  : 2
ye the  : 2
he purred  : 1
purred ,  : 1
your assembly  : 1
assembly ,  : 1
jungle says  : 1
doubt which  : 1
a killing  : 1
killing matter  : 1
matter in  : 1
new cub  : 1
that cub  : 1
cub may  : 1
bought at  : 1
a price  : 2
price .  : 3
law does  : 1
say who  : 1
who may  : 1
may or  : 2
or may  : 1
not pay  : 1
that price  : 1
i right  : 1
young wolves  : 5
always hungry  : 2
`` listen  : 5
to bagheera  : 6
bagheera .  : 15
cub can  : 3
`` knowing  : 1
speak here  : 1
ask your  : 1
your leave  : 1
leave .  : 1
`` speak  : 1
speak then  : 1
cried twenty  : 1
